Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SOD-123,D_SOD123,-37.30625,-74.6125,180,bottom
D2,SOD-123,D_SOD123,-56.35625,-74.6125,180,bottom
D3,SOD-123,D_SOD123,-75.29375,-74.6125,180,bottom
D4,SOD-123,D_SOD123,-94.45625,-74.6125,180,bottom
D5,SOD-123,D_SOD123,-113.50625,-74.6125,180,bottom
D6,SOD-123,D_SOD123,-170.65625,-74.6125,180,bottom
D7,SOD-123,D_SOD123,-189.70625,-74.6125,180,bottom
D8,SOD-123,D_SOD123,-208.75625,-74.6125,180,bottom
D9,SOD-123,D_SOD123,-227.80625,-74.6125,180,bottom
D10,SOD-123,D_SOD123,-246.85625,-74.6125,180,bottom
D11,SOD-123,D_SOD123,-265.90625,-74.6125,180,bottom
D12,SOD-123,D_SOD123,-37.30625,-93.6625,180,bottom
D13,SOD-123,D_SOD123,-56.35625,-93.6625,180,bottom
D14,SOD-123,D_SOD123,-75.40625,-93.6625,180,bottom
D15,SOD-123,D_SOD123,-94.45625,-93.6625,180,bottom
D16,SOD-123,D_SOD123,-113.50625,-93.6625,180,bottom
D17,SOD-123,D_SOD123,-170.65625,-93.6625,180,bottom
D18,SOD-123,D_SOD123,-189.70625,-93.6625,180,bottom
D19,SOD-123,D_SOD123,-208.75625,-93.6625,180,bottom
D20,SOD-123,D_SOD123,-227.80625,-93.6625,180,bottom
D21,SOD-123,D_SOD123,-246.85625,-93.6625,180,bottom
D22,SOD-123,D_SOD123,-265.90625,-93.6625,180,bottom
D23,SOD-123,D_SOD123,-75.40625,-131.7625,180,bottom
D24,SOD-123,D_SOD123,-94.45625,-131.7625,180,bottom
D25,SOD-123,D_SOD123,-113.50625,-131.7625,180,bottom
D26,SOD-123,D_SOD123,-170.65625,-131.7625,180,bottom
D27,SOD-123,D_SOD123,-189.70625,-131.7625,180,bottom
D28,SOD-123,D_SOD123,-208.75625,-131.7625,180,bottom
U1,ProMicro,ArduinoProMicro,-142.08125,-79.77425,-90,bottom
